name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Volleyball Camp at AGC Sports Center -  (June 22–26, 2026)",volleyball,10,14,2026-06-22,2026-06-26,19051 Oak Rd W,Gulf Shores,AL,36542,"ABOUT RYG ATHLETICS RYG Athletics is on a mission to help transform the games and lives of athletes around the country. RYG Athletics is committed to using sport as a vehicle to teach young athletes the leadership, mindset, and athletic skills they need to thrive in sports and life. They're so committed to helping athletes grow as leaders and develop mental toughness that their Academy sessions feature twice daily classroom sessions that include leadership and mindset teaching. Their camps are based on four pillars: fun, challenge, support, and connection. Their goal every week is simple: to be the highlight of every athlete's summer while helping them improve at the game.RATED AS A TOP 10 NIKE VOLLEYBALL CAMP IN 2025. The Top-Rated Camp &amp; Director Awards recognize and celebrate directors who deliver exceptional, BEST-IN-CLASS experiences for both campers and parents. Winners are determined through a detailed analysis of thousands of post-camp parent reviews, with the goal of amplifying positive word-of-mouth, boosting camp enrollment, and reinforcing parents’ confidence that their investment was worthwhile.",$399,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-gulf-shores,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at The Link -  (June 1–5, 2026)",volleyball,8,12,2026-06-01,2026-06-05,16850 US-84,Newton,AL,36352,"Join us this summer at The Link for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Alli Laatsch, while enjoying a supportive and exciting atmosphere. Open to girls, ages 8-12, this volleyball camp in Alabama is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Newton—sign up today!",$329,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-link,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at The Link -  (June 29–July 2, 2026)",volleyball,8,12,2026-06-29,2026-07-02,16850 US-84,Newton,AL,36352,"Join us this summer at The Link for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Alli Laatsch, while enjoying a supportive and exciting atmosphere. Open to girls, ages 8-12, this volleyball camp in Alabama is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Newton—sign up today!",$289,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-link,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Paradise Valley Chrisitian Preparatory -  (June 29–July 2, 2026)",volleyball,10,18,2026-06-29,2026-07-02,11875 N 24th St,Phoenix,AZ,85028,"Train with us this summer 2026 at our volleyball camp at Paradise Valley Christian Preparatory! Open to girls ages 10–18, this camp offers a great opportunity for athletes to improve their skills in a positive and encouraging environment. Under the direction of Arizona Christian University Assistant Coach Tiger Shelton and his coaching staff, players will work on key fundamentals, learn new techniques, and take part in fun competitions and gameplay. Athletes from Phoenix and surrounding areas are invited to join for a summer of learning, confidence-building, and plenty of time on the court.",$495,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-phoenix,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Rancho Solano Preparatory School -  (June 22–26, 2026)",volleyball,8,14,2026-06-22,2026-06-26,9180 East Vía de Ventura,Scottsdale,AZ,85258,"Join us this summer at Rancho Solano Preparatory School for fun and learning on the court! Campers of all abilities will train with Nike Camp Directors Marissa Morah and Emily Crevelone, while enjoying a supportive and exciting atmosphere. Open to girls, ages 8-14, this Arizona volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Scottsdale—sign up today!",$555,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-rancho-solano-preparatory-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Rancho Solano Preparatory School -  (July 6–10, 2026)",volleyball,8,14,2026-07-06,2026-07-10,9180 East Vía de Ventura,Scottsdale,AZ,85258,"Join us this summer at Rancho Solano Preparatory School for fun and learning on the court! Campers of all abilities will train with Nike Camp Directors Marissa Morah and Emily Crevelone, while enjoying a supportive and exciting atmosphere. Open to girls, ages 8-14, this Arizona volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Scottsdale—sign up today!",$555,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-rancho-solano-preparatory-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Rancho Solano Preparatory School -  (July 20–24, 2026)",volleyball,8,14,2026-07-20,2026-07-24,9180 East Vía de Ventura,Scottsdale,AZ,85258,"Join us this summer at Rancho Solano Preparatory School for fun and learning on the court! Campers of all abilities will train with Nike Camp Directors Marissa Morah and Emily Crevelone, while enjoying a supportive and exciting atmosphere. Open to girls, ages 8-14, this Arizona volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Scottsdale—sign up today!",$555,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-rancho-solano-preparatory-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Wickenburg High School - All Skills Camp (June 25–27, 2026)",volleyball,10,18,2026-06-25,2026-06-27,1090 Vulture Mine Rd,Wickenburg,AZ,85390,"Join us for our Summer 2026 volleyball camp at Wickenburg High School! Directed by Arizona Christian University Assistant Coach Tiger Shelton and his knowledgeable staff, this camp is designed for girls ages 10–18 who are ready to grow their game. Athletes from Wickenburg and surrounding areas will focus on skill development, learn new techniques, and compete in structured game play within a positive and encouraging environment. It’s the perfect opportunity to prepare for the upcoming season, gain confidence, and enjoy a rewarding week on the court. Secure your spot today!",$329,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-wickenburg-arizona,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Wickenburg High School - Advanced Camp/HS Prep (June 25–27, 2026)",volleyball,14,18,2026-06-25,2026-06-27,1090 Vulture Mine Rd,Wickenburg,AZ,85390,"Join us for our Summer 2026 volleyball camp at Wickenburg High School! Directed by Arizona Christian University Assistant Coach Tiger Shelton and his knowledgeable staff, this camp is designed for girls ages 10–18 who are ready to grow their game. Athletes from Wickenburg and surrounding areas will focus on skill development, learn new techniques, and compete in structured game play within a positive and encouraging environment. It’s the perfect opportunity to prepare for the upcoming season, gain confidence, and enjoy a rewarding week on the court. Secure your spot today!",$329,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-wickenburg-arizona,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Game Time at The Grounds -  (June 22–26, 2026)",volleyball,10,14,2026-06-22,2026-06-26,300 Champions Drive,Cabot,AR,72007,"ABOUT RYG ATHLETICS RYG Athletics is on a mission to help transform the games and lives of athletes around the country. RYG Athletics is committed to using sport as a vehicle to teach young athletes the leadership, mindset, and athletic skills they need to thrive in sports and life. They're so committed to helping athletes grow as leaders and develop mental toughness that their Academy sessions feature twice daily classroom sessions that include leadership and mindset teaching. Their camps are based on four pillars: fun, challenge, support, and connection. Their goal every week is simple: to be the highlight of every athlete's summer while helping them improve at the game.RATED AS A TOP 10 NIKE VOLLEYBALL CAMP IN 2025. The Top-Rated Camp &amp; Director Awards recognize and celebrate directors who deliver exceptional, BEST-IN-CLASS experiences for both campers and parents. Winners are determined through a detailed analysis of thousands of post-camp parent reviews, with the goal of amplifying positive word-of-mouth, boosting camp enrollment, and reinforcing parents’ confidence that their investment was worthwhile.",$399,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-game-time,FALSE,FALSE,camp,,,medium
