name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Volleyball Camp in Round Rock - Individual Skills Camp (June 15–18, 2026)",volleyball,9,16,2026-06-15,2026-06-18,2400 Chisholm Trail Rd,Round Rock,TX,78681,"Join us this summer at Round Rock Sports Center for fun and learning on the court! Girls and boys, ages 9-17, will train with a dedicated coaching staff while enjoying a supportive and exciting atmosphere. Open to players of all abilities, this camp in Texas is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Round Rock-sign up today!",$499-$539,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-round-rock,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp in Round Rock - Serving & Passing Clinic (June 19, 2026)",volleyball,9,16,2026-06-19,2026-06-19,2400 Chisholm Trail Rd,Round Rock,TX,78681,"Join us this summer at Round Rock Sports Center for fun and learning on the court! Girls and boys, ages 9-17, will train with a dedicated coaching staff while enjoying a supportive and exciting atmosphere. Open to players of all abilities, this camp in Texas is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Round Rock-sign up today!",$95,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-round-rock,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp in Round Rock - All Skills Camp (June 29–July 2, 2026)",volleyball,9,15,2026-06-29,2026-07-02,2400 Chisholm Trail Rd,Round Rock,TX,78681,"Join us this summer at Round Rock Sports Center for fun and learning on the court! Girls and boys, ages 9-17, will train with a dedicated coaching staff while enjoying a supportive and exciting atmosphere. Open to players of all abilities, this camp in Texas is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Round Rock-sign up today!",$499-$539,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-round-rock,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp in Round Rock - High Intensity Camp (June 29–July 2, 2026)",volleyball,12,17,2026-06-29,2026-07-02,2400 Chisholm Trail Rd,Round Rock,TX,78681,"Join us this summer at Round Rock Sports Center for fun and learning on the court! Girls and boys, ages 9-17, will train with a dedicated coaching staff while enjoying a supportive and exciting atmosphere. Open to players of all abilities, this camp in Texas is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Round Rock-sign up today!",$499-$539,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-round-rock,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp in Round Rock - Serving & Passing Clinic (July 3, 2026)",volleyball,9,15,2026-07-03,2026-07-03,2400 Chisholm Trail Rd,Round Rock,TX,78681,"Join us this summer at Round Rock Sports Center for fun and learning on the court! Girls and boys, ages 9-17, will train with a dedicated coaching staff while enjoying a supportive and exciting atmosphere. Open to players of all abilities, this camp in Texas is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Round Rock-sign up today!",$95,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-round-rock,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at 540 Volleyball Academy - All Skills/Advanced Camp (June 8–11, 2026)",volleyball,8,18,2026-06-08,2026-06-11,1127 International Pkwy,Fredericksburg,VA,22406,"Girls, ages 8-18, are invited to join our winter volleyball camp at 540 Volleyball Academy in Virginia! Led by a dedicated coaching staff, this camp is all about energy, teamwork, and fun. Campers will enjoy improving their game while meeting new friends and learning from great coaching. The All Skills program helps players grow in all areas of the game while enjoying a positive, supportive environment. Come ready to move, learn, and enjoy the game you love in Fredericksburg!",$504,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-540-volleyball-academy,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at 540 Volleyball Academy - All Skills/Advanced Camp (July 13–16, 2026)",volleyball,8,18,2026-07-13,2026-07-16,1127 International Pkwy,Fredericksburg,VA,22406,"Girls, ages 8-18, are invited to join our winter volleyball camp at 540 Volleyball Academy in Virginia! Led by a dedicated coaching staff, this camp is all about energy, teamwork, and fun. Campers will enjoy improving their game while meeting new friends and learning from great coaching. The All Skills program helps players grow in all areas of the game while enjoying a positive, supportive environment. Come ready to move, learn, and enjoy the game you love in Fredericksburg!",$504,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-540-volleyball-academy,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at 540 Volleyball Academy - All Skills Camp (July 20–21, 2026)",volleyball,8,18,2026-07-20,2026-07-21,1127 International Pkwy,Fredericksburg,VA,22406,"Girls, ages 8-18, are invited to join our winter volleyball camp at 540 Volleyball Academy in Virginia! Led by a dedicated coaching staff, this camp is all about energy, teamwork, and fun. Campers will enjoy improving their game while meeting new friends and learning from great coaching. The All Skills program helps players grow in all areas of the game while enjoying a positive, supportive environment. Come ready to move, learn, and enjoy the game you love in Fredericksburg!",$255,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-540-volleyball-academy,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Henrico Events and Sport Center -  (June 1–3, 2026)",volleyball,10,18,2026-06-01,2026-06-03,1 All Star Boulevard,Glen Allen,VA,23059,"Join us this summer at Henrico Events and Sport Center for fun and learning on the court! Girls, ages 10-18, will train with Nike Volleyball Camp Director, Ray Vance, while enjoying a supportive and exciting atmosphere. Open to athletes of all abilities, this Virginia volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Glen Allen—sign up today!",$335,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-glen-allen,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Cosby High School - Serving Clinic (July 27, 2026)",volleyball,10,18,2026-07-27,2026-07-27,14300 Fox Club Pkwy,Midlothian,VA,23112,"Join us this summer at Cosby High School for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Ray Vance, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 10-18, this camp in Virginia is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Midlothian—sign up today!",$24,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-cosby-high-school-2,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Cosby High School - All Skills Camp (July 27–30, 2026)",volleyball,10,18,2026-07-27,2026-07-30,14300 Fox Club Pkwy,Midlothian,VA,23112,"Join us this summer at Cosby High School for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Ray Vance, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 10-18, this camp in Virginia is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Midlothian—sign up today!",$485,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-cosby-high-school-2,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Cosby High School - Attacking Clinic (July 28, 2026)",volleyball,10,18,2026-07-28,2026-07-28,14300 Fox Club Pkwy,Midlothian,VA,23112,"Join us this summer at Cosby High School for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Ray Vance, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 10-18, this camp in Virginia is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Midlothian—sign up today!",$24,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-cosby-high-school-2,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Cosby High School - Setting Clinic (July 29, 2026)",volleyball,10,18,2026-07-29,2026-07-29,14300 Fox Club Pkwy,Midlothian,VA,23112,"Join us this summer at Cosby High School for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Ray Vance, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 10-18, this camp in Virginia is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Midlothian—sign up today!",$24,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-cosby-high-school-2,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Cosby High School - Defense & Serve Receive Clinic (July 30, 2026)",volleyball,10,18,2026-07-30,2026-07-30,14300 Fox Club Pkwy,Midlothian,VA,23112,"Join us this summer at Cosby High School for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Ray Vance, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 10-18, this camp in Virginia is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Midlothian—sign up today!",$24,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-cosby-high-school-2,FALSE,FALSE,camp,,,medium
